"Teams","Points","1","2","3","4","5","6","7","8","9","10","11","12"
"MadMen (ads)","6","","1","","","1","","1","","1","1","1",""
"B Team (ads)","8","","1","","","1","1","1","1","1","1","1",""
"Heartbleed (ads)","8","","1","1","1","1","","","1","1","1","1",""
"N. S. A. (ads)","10","","1","1","1","","1","1","1","1","1","1","1"
"Megaminds (nokia)","3","","1","","1","","","","","","","1",""
"The Clavens (nokia)","5","","1","","","1","1","","","","1","1",""
"7th Floor Savants (nokia)","8","1","1","","1","1","1","1","1","","1","",""
"Goodfellas (bing)","7","","1","","1","","","1","1","1","1","1",""
"Bingmeisters (bing)","7","","1","1","","","","1","1","1","1","1",""
"XAP Brannigan (bing)","9","1","1","","1","1","","1","1","1","1","1",""
"CUSP (bing)","5","","","","","1","","1","1","1","","","1"
"Lit U Up (bing)","9","1","1","","1","1","1","1","","1","1","1",""
"O. J. Hoarders (bing)","7","","1","1","","","","1","1","1","1","1",""
"ADifferentAngle (bing)","8","","1","","1","1","1","1","1","1","1","",""
"Ads ()","8.00","","0.75","1.25","2.00","2.75","3.25","4.00","4.75","5.75","6.75","7.75","8.00"
"Nokia ()","5.33","0.33","1.33","","2.00","2.67","3.33","3.67","4.00","","4.67","5.33",""
"Bing ()","7.29","0.25","1.00","1.25","1.75","2.25","2.50","3.38","4.13","5.00","5.75","6.38","7.29"
