"Teams","Points","1","2","3","4","5","6","7","8","9","10","11","12","13","14"
"12.5 Degrees","6","","1","1","1","1","1","","1","","","","","",""
"Ambar","4","","","1","","1","1","","","1","","","","",""
"BEJazz","7","","","","1","1","1","1","1","1","","","1","",""
"Бузина","8.5","","","1","1","1","1","1","1","","1","","1","","0.5"
"Чайник Вина","4","1","","1","","1","","","","1","","","","",""
"East Bay","6","1","1","","","1","","","1","1","","","1","",""
"F1","2","1","","","","1","","","","","","","","",""
"Livejournal","4","1","","","","","1","","","","1","","1","",""
"Mercury","2","","","","","","1","","1","","","","","",""
"Musketeers","3","","1","","","1","","","","1","","","","",""
"Нормальная Группа","6","1","","1","","1","1","","","1","1","","","",""
"Полуостров","8","1","1","1","1","1","1","","","1","1","","","",""
"Последние Романтики","1","","","","","1","","","","","","","","",""
"RWB","4","1","","1","","","1","","","1","","","","",""
"South Bay","2","","1","","","","","","","","1","","","",""
"Stanford","4","1","","","","1","1","","1","","","","","",""
"Twin Peaks","3","1","","","","1","","","","1","","","","",""
"UC Berkeley","7","1","1","","","1","1","","","1","1","","1","",""
"Новиков","9","1","1","","1","","1","","1","1","1","1","","1",""
"Сан-Франциско","4.50","0.56","0.89","1.28","1.50","2.28","2.89","3.00","3.33","3.89","4.22","","4.50","",""
